id,no,pos,name,dob,caps,goals,club,clubNat,clubWiki,captain,wiki,wcApps,wcGoals,wcYellow,wcRed,team_code,team_flag,team_wiki,coach,name_norm
jaroslav-zeleny,20,DF,Jaroslav Zelený,1992-08-20,23,0,Sparta Prague,CZE,https://en.wikipedia.org/wiki/AC_Sparta_Prague,False,https://en.wikipedia.org/wiki/Jaroslav_Zelen%C3%BD,2,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,jaroslav zeleny
david-doudera,21,DF,David Douděra,1998-05-31,17,2,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/David_Doud%C4%9Bra,1,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,david doudera
vladimir-darida,8,MF,Vladimír Darida,1990-08-08,79,8,Hradec Králové,CZE,https://en.wikipedia.org/wiki/FC_Hradec_Kr%C3%A1lov%C3%A9,False,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Darida,1,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,vladimir darida
lukas-cerv,12,MF,Lukáš Červ,2001-04-10,17,2,Viktoria Plzeň,CZE,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,False,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_%C4%8Cerv,2,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,lukas cerv
lukas-provod,17,MF,Lukáš Provod,1996-10-23,38,3,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_Provod,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,lukas provod
michal-sadilek,18,MF,Michal Sadílek,1999-05-31,35,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/Michal_Sad%C3%ADlek,3,1,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,michal sadilek
tomas-soucek,22,MF,Tomáš Souček,1995-02-27,90,17,West Ham United,ENG,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,False,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Sou%C4%8Dek,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,tomas soucek
alexandr-sojka,24,MF,Alexandr Sojka,2003-04-02,2,0,Viktoria Plzeň,CZE,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,False,https://en.wikipedia.org/wiki/Alexandr_Sojka,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,alexandr sojka
hugo-sochurek,25,MF,Hugo Sochůrek,2008-06-07,1,0,Sparta Prague,CZE,https://en.wikipedia.org/wiki/AC_Sparta_Prague,False,https://en.wikipedia.org/wiki/Hugo_Soch%C5%AFrek,0,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,hugo sochurek
adam-hlozek,9,FW,Adam Hložek,2002-07-25,43,5,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,False,https://en.wikipedia.org/wiki/Adam_Hlo%C5%BEek,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,adam hlozek
patrik-schick,10,FW,Patrik Schick,1996-01-24,53,26,Bayer Leverkusen,GER,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,False,https://en.wikipedia.org/wiki/Patrik_Schick,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,patrik schick
jan-kuchta,11,FW,Jan Kuchta,1997-01-08,31,3,Sparta Prague,CZE,https://en.wikipedia.org/wiki/AC_Sparta_Prague,False,https://en.wikipedia.org/wiki/Jan_Kuchta,0,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,jan kuchta
mojmir-chytil,13,FW,Mojmír Chytil,1999-04-29,22,6,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/Mojm%C3%ADr_Chytil,1,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,mojmir chytil
pavel-sulc,15,FW,Pavel Šulc,2000-12-29,21,5,Lyon,FRA,https://en.wikipedia.org/wiki/Olympique_Lyonnais,False,https://en.wikipedia.org/wiki/Pavel_%C5%A0ulc,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,pavel sulc
tomas-chory,19,FW,Tomáš Chorý,1995-01-26,22,7,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Chor%C3%BD,2,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,tomas chory
denis-visinsky,26,FW,Denis Višinský,2003-03-21,2,1,Viktoria Plzeň,CZE,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,False,https://en.wikipedia.org/wiki/Denis_Vi%C5%A1insk%C3%BD,1,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,denis visinsky
raul-rangel,1,GK,Raúl Rangel,2000-02-25,14,0,Guadalajara,MEX,https://en.wikipedia.org/wiki/C.D._Guadalajara,False,https://en.wikipedia.org/wiki/Ra%C3%BAl_Rangel_(footballer),3,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,raul rangel
carlos-acevedo,12,GK,Carlos Acevedo,1996-04-19,7,0,Santos Laguna,MEX,https://en.wikipedia.org/wiki/Santos_Laguna,False,https://en.wikipedia.org/wiki/Carlos_Acevedo,0,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,carlos acevedo
guillermo-ochoa,13,GK,Guillermo Ochoa,1985-07-13,152,0,AEL Limassol,CYP,https://en.wikipedia.org/wiki/AEL_Limassol,False,https://en.wikipedia.org/wiki/Guillermo_Ochoa,1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,guillermo ochoa
jorge-sanchez,2,DF,Jorge Sánchez,1997-12-10,59,3,PAOK,GRE,https://en.wikipedia.org/wiki/PAOK_FC,False,https://en.wikipedia.org/wiki/Jorge_S%C3%A1nchez_(footballer%2C_born_1997),2,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,jorge sanchez
cesar-montes,3,DF,César Montes,1997-02-24,67,4,Lokomotiv Moscow,RUS,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,False,https://en.wikipedia.org/wiki/C%C3%A9sar_Montes,2,0,0,1,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,cesar montes
edson-alvarez,4,DF,Edson Álvarez,1997-10-24,98,7,Fenerbahçe,TUR,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),False,https://en.wikipedia.org/wiki/Edson_%C3%81lvarez,3,0,1,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,edson alvarez
johan-vasquez,5,DF,Johan Vásquez,1998-10-22,46,3,Genoa,ITA,https://en.wikipedia.org/wiki/Genoa_CFC,False,https://en.wikipedia.org/wiki/Johan_V%C3%A1squez_(footballer%2C_born_1998),2,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,johan vasquez
israel-reyes,15,DF,Israel Reyes,2000-05-23,34,2,América,MEX,https://en.wikipedia.org/wiki/Club_Am%C3%A9rica,False,https://en.wikipedia.org/wiki/Israel_Reyes,3,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,israel reyes
mateo-chavez,20,DF,Mateo Chávez,2004-05-12,10,0,AZ,NED,https://en.wikipedia.org/wiki/AZ_Alkmaar,False,https://en.wikipedia.org/wiki/Mateo_Ch%C3%A1vez,1,1,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,mateo chavez
jesus-gallardo,23,DF,Jesús Gallardo,1994-08-15,121,3,Toluca,MEX,https://en.wikipedia.org/wiki/Toluca_FC,False,https://en.wikipedia.org/wiki/Jes%C3%BAs_Gallardo,3,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,jesus gallardo
erik-lira,6,MF,Érik Lira,2000-05-08,25,0,Cruz Azul,MEX,https://en.wikipedia.org/wiki/Cruz_Azul,False,https://en.wikipedia.org/wiki/%C3%89rik_Lira,2,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,erik lira
luis-romo,7,MF,Luis Romo,1995-06-05,63,4,Guadalajara,MEX,https://en.wikipedia.org/wiki/C.D._Guadalajara,False,https://en.wikipedia.org/wiki/Luis_Romo,2,1,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,luis romo
alvaro-fidalgo,8,MF,Álvaro Fidalgo,1997-04-09,4,0,Real Betis,ESP,https://en.wikipedia.org/wiki/Real_Betis,False,https://en.wikipedia.org/wiki/%C3%81lvaro_Fidalgo,2,1,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,alvaro fidalgo
orbelin-pineda,17,MF,Orbelín Pineda,1996-03-24,92,12,AEK Athens,GRE,https://en.wikipedia.org/wiki/AEK_Athens_F.C.,False,https://en.wikipedia.org/wiki/Orbel%C3%ADn_Pineda,1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,orbelin pineda
obed-vargas,18,MF,Obed Vargas,2005-08-05,6,0,Atlético Madrid,ESP,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid,False,https://en.wikipedia.org/wiki/Obed_Vargas,2,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,obed vargas
gilberto-mora,19,MF,Gilberto Mora,2008-10-14,8,0,Tijuana,MEX,https://en.wikipedia.org/wiki/Club_Tijuana,False,https://en.wikipedia.org/wiki/Gilberto_Mora_(footballer%2C_born_2008),2,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,gilberto mora
luis-chavez,24,MF,Luis Chávez,1996-01-15,45,5,Dynamo Moscow,RUS,https://en.wikipedia.org/wiki/FC_Dynamo_Moscow,False,https://en.wikipedia.org/wiki/Luis_Ch%C3%A1vez_(footballer),1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,luis chavez
brian-gutierrez,26,MF,Brian Gutiérrez,2003-06-17,7,2,Guadalajara,MEX,https://en.wikipedia.org/wiki/C.D._Guadalajara,False,https://en.wikipedia.org/wiki/Brian_Guti%C3%A9rrez,2,0,1,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,brian gutierrez
raul-jimenez,9,FW,Raúl Jiménez,1991-05-05,124,45,Fulham,ENG,https://en.wikipedia.org/wiki/Fulham_F.C.,False,https://en.wikipedia.org/wiki/Ra%C3%BAl_Jim%C3%A9nez,2,1,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,raul jimenez
alexis-vega,10,FW,Alexis Vega,1997-11-25,52,7,Toluca,MEX,https://en.wikipedia.org/wiki/Toluca_FC,False,https://en.wikipedia.org/wiki/Alexis_Vega_(Mexican_footballer),1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,alexis vega
santiago-gimenez,11,FW,Santiago Giménez,2001-04-18,47,6,Milan,ITA,https://en.wikipedia.org/wiki/AC_Milan,False,https://en.wikipedia.org/wiki/Santiago_Gim%C3%A9nez,2,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,santiago gimenez
armando-gonzalez,14,FW,Armando González,2003-04-20,7,1,Guadalajara,MEX,https://en.wikipedia.org/wiki/C.D._Guadalajara,False,https://en.wikipedia.org/wiki/Armando_Gonz%C3%A1lez_(footballer%2C_born_2003),1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,armando gonzalez
julian-quinones,16,FW,Julián Quiñones,1997-03-24,22,2,Al-Qadsiah,KSA,https://en.wikipedia.org/wiki/Al_Qadsiah_FC,False,https://en.wikipedia.org/wiki/Juli%C3%A1n_Qui%C3%B1ones,3,2,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,julian quinones
cesar-huerta,21,FW,César Huerta,2000-12-03,26,3,Anderlecht,BEL,https://en.wikipedia.org/wiki/RSC_Anderlecht,False,https://en.wikipedia.org/wiki/C%C3%A9sar_Huerta,1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,cesar huerta
guillermo-martinez,22,FW,Guillermo Martínez,1995-03-15,12,3,Pumas UNAM,MEX,https://en.wikipedia.org/wiki/Pumas_UNAM,False,https://en.wikipedia.org/wiki/Guillermo_Mart%C3%ADnez_(footballer),1,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,guillermo martinez
roberto-alvarado,25,FW,Roberto Alvarado,1998-09-07,67,5,Guadalajara,MEX,https://en.wikipedia.org/wiki/C.D._Guadalajara,False,https://en.wikipedia.org/wiki/Roberto_Alvarado,3,0,0,0,MEX,🇲🇽,https://en.wikipedia.org/wiki/Mexico_national_football_team,Javier Aguirre,roberto alvarado
ronwen-williams,1,GK,Ronwen Williams,1992-01-21,62,0,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Ronwen_Williams,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,ronwen williams
sipho-chaine,16,GK,Sipho Chaine,1996-12-14,4,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Sipho_Chaine,0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,sipho chaine
ricardo-goss,22,GK,Ricardo Goss,1994-04-02,5,0,Siwelele,RSA,https://en.wikipedia.org/wiki/Siwelele_F.C.,False,https://en.wikipedia.org/wiki/Ricardo_Goss,0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,ricardo goss
thabang-matuludi,2,DF,Thabang Matuludi,1999-01-14,3,0,Polokwane City,RSA,https://en.wikipedia.org/wiki/Polokwane_City_F.C.,False,https://en.wikipedia.org/wiki/Thabang_Matuludi,0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,thabang matuludi
khulumani-ndamane,3,DF,Khulumani Ndamane,2004-02-05,5,0,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Khulumani_Ndamane,0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,khulumani ndamane
aubrey-modiba,6,DF,Aubrey Modiba,1995-07-22,44,3,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Aubrey_Modiba,3,0,1,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,aubrey modiba
mbekezeli-mbokazi,14,DF,Mbekezeli Mbokazi,2005-09-19,10,1,Chicago Fire FC,USA,https://en.wikipedia.org/wiki/Chicago_Fire_FC,False,https://en.wikipedia.org/wiki/Mbekezeli_Mbokazi,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,mbekezeli mbokazi
samukele-kabini,18,DF,Samukele Kabini,2004-03-15,6,0,Molde,NOR,https://en.wikipedia.org/wiki/Molde_FK,False,https://en.wikipedia.org/wiki/Samukele_Kabini,0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,samukele kabini
nkosinathi-sibisi,19,DF,Nkosinathi Sibisi,1995-09-22,20,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Nkosinathi_Sibisi,1,0,1,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,nkosinathi sibisi
khuliso-mudau,20,DF,Khuliso Mudau,1995-04-26,32,1,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Khuliso_Mudau,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,khuliso mudau
ime-okon,21,DF,Ime Okon,2004-02-20,8,1,Hannover 96,GER,https://en.wikipedia.org/wiki/Hannover_96,False,https://en.wikipedia.org/wiki/Ime_Okon,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,ime okon
olwethu-makhanya,24,DF,Olwethu Makhanya,2004-04-30,1,0,Philadelphia Union,USA,https://en.wikipedia.org/wiki/Philadelphia_Union,False,https://en.wikipedia.org/wiki/Olwethu_Makhanya,0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,olwethu makhanya
bradley-cross,26,DF,Bradley Cross,2001-01-30,1,0,Kaizer Chiefs,RSA,https://en.wikipedia.org/wiki/Kaizer_Chiefs_F.C.,False,https://en.wikipedia.org/wiki/Bradley_Cross_(soccer),0,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,bradley cross
teboho-mokoena,4,MF,Teboho Mokoena,1997-01-24,51,9,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Teboho_Mokoena_(soccer%2C_born_1997),2,1,2,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,teboho mokoena
thalente-mbatha,5,MF,Thalente Mbatha,2000-03-06,15,3,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Thalente_Mbatha,3,0,1,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,thalente mbatha
themba-zwane,11,MF,Themba Zwane,1989-08-03,54,12,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Themba_Zwane,1,0,0,1,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,themba zwane
sphephelo-sithole,13,MF,Sphephelo Sithole,1999-03-03,28,1,Tondela,POR,https://en.wikipedia.org/wiki/C.D._Tondela,False,https://en.wikipedia.org/wiki/Sphephelo_Sithole,2,0,0,1,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,sphephelo sithole
jayden-adams,23,MF,Jayden Adams,2001-05-05,5,0,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Jayden_Adams,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,jayden adams
oswin-appollis,7,FW,Oswin Appollis,2001-08-25,26,8,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Oswin_Appollis,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,oswin appollis
tshepang-moremi,8,FW,Tshepang Moremi,2000-10-02,10,1,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Tshepang_Moremi,1,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,tshepang moremi
lyle-foster,9,FW,Lyle Foster,2000-09-03,27,10,Burnley,ENG,https://en.wikipedia.org/wiki/Burnley_F.C.,False,https://en.wikipedia.org/wiki/Lyle_Foster,1,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,lyle foster
relebohile-mofokeng,10,FW,Relebohile Mofokeng,2004-10-23,13,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Relebohile_Mofokeng,2,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,relebohile mofokeng
thapelo-maseko,12,FW,Thapelo Maseko,2003-11-11,10,1,AEL Limassol,CYP,https://en.wikipedia.org/wiki/AEL_Limassol,False,https://en.wikipedia.org/wiki/Thapelo_Maseko,2,1,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,thapelo maseko
iqraam-rayners,15,FW,Iqraam Rayners,1995-12-19,14,4,Mamelodi Sundowns,RSA,https://en.wikipedia.org/wiki/Mamelodi_Sundowns_F.C.,False,https://en.wikipedia.org/wiki/Iqraam_Rayners,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,iqraam rayners
evidence-makgopa,17,FW,Evidence Makgopa,2000-06-05,26,6,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Evidence_Makgopa,3,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,evidence makgopa
kamogelo-sebelebele,25,FW,Kamogelo Sebelebele,2002-07-21,3,0,Orlando Pirates,RSA,https://en.wikipedia.org/wiki/Orlando_Pirates_F.C.,False,https://en.wikipedia.org/wiki/Kamogelo_Sebelebele,1,0,0,0,RSA,🇿🇦,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,Hugo Broos,kamogelo sebelebele
kim-seung-gyu,1,GK,Kim Seung-gyu,1990-09-30,87,0,FC Tokyo,JPN,https://en.wikipedia.org/wiki/FC_Tokyo,False,https://en.wikipedia.org/wiki/Kim_Seung-gyu,3,0,0,0,KOR,🇰🇷,https://en.wikipedia.org/wiki/South_Korea_national_football_team,Hong Myung-bo,kim seung gyu
